case_number,category_1,category_2,category_3,granular_cluster_id,parent_cluster_id
9982658,WSG Programmes and Initiatives,Career Conversion Programme,Healthcare and Social Services,6,1
9982691,"Grants, Awards and Funding Programmes or Systems",Course Funding Framework,"Guidelines, Processes and Timeline",8,1
9982715,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",11,1
9982739,Employment Assistance and Career Services,Career Advisory and Coaching,Book New Appointment (WCC),8,1
9982743,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,4,1
9982784,Divisional Matters,SSG Divisional Matters,Industry Development Division 1 (IDD1) - Others,1,1
9982795,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Applications,9,1
9982816,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,5,1
9982873,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,10,1
9982911,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,13,1
9982967,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,1,1
9982986,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,1,1
9983039,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,11,1
9983058,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",11,1
9983116,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,11,1
9983144,Regulations,Skills Development Levy (SDL),Refund,10,1
9983184,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,1,1
9983236,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,5,1
9983262,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,9,1
9983278,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",5,1
9983310,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,4,1
9983313,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,6,1
9983317,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,1,1
9983356,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,3,1
9983370,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",5,1
9983384,Employment Assistance and Career Services,Career Advisory and Coaching,Book New Appointment (WCC),2,1
9983433,Regulations,Skills Development Levy (SDL),Payment,9,1
9983438,"Grants, Awards and Funding Programmes or Systems",TPGateway - MAS-IBF,"Guidelines, Processes and Timeline - Course Registration",3,1
9983471,Regulations,Skills Development Levy (SDL),Payment,4,1
9983536,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9983549,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,10,1
9983581,Regulations,Skills Development Levy (SDL),Payment,6,1
9983614,Regulations,Skills Development Levy (SDL),General Enquiries,12,1
9983634,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",3,1
9983677,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,9,1
9983696,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9986358,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9983699,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,1,1
9983765,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",12,1
9983778,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,3,1
9983808,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",9,1
9983838,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,1,1
9983876,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9983882,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,4,1
9983883,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,6,1
9983904,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Purpose and Objective - Absentee Payroll (AP),3,1
