object,case_number
post-degree completion,9982658
Career Conversion Programme in Nursing,9982658
course fee subsidy for a Tourist guide course,9982691
SkillsFuture Credits balance,9982691
expiry date for a 62-year-old,9982691
Training Provider link,9982715
submitting a SkillsFuture Credit claim,9982715
new face-to-face appointment,9982739
CMS,9982739
Track Access Management Level 2 course,9982743
no updates after multiple enrolment uploads,9982743
assistance,9982743
SkillsFuture Singapore,9982784
feedback on a Temasek Polytechnic Diploma course,9982784
computer issues,9982795
email resume to employer for a job application on MyCareersFuture,9982795
unsuccessful,9982795
disbursement received in company's PayNow account,9982816
SkillsFuture Singapore,9982816
source and amount of disbursement,9982816
recent disbursement linked to SkillsFuture Singapore Agency,9982873
disbursement details on Skillsfuture portal,9982873
a course,9982911
Training Commitment Award and Training Allowance payments,9982911
urgent cash needs,9982911
"""Perform Metal Scaffold Erection -1"" course qualification",9982967
13 skill sets for upgrading workers in the Process industry,9982967
Singpass MobileApp Verification,9982986
course due to site loading issues and lack of QR code,9982986
the overall in charge,9983039
"January 2, 2024",9983058
early claim for SkillsFuture Credits,9983058
claiming a cash award for a company-sponsored Food Hygiene course,9983116
eligibility and submission process,9983116
a previous case,9983144
attendance data not processed despite pre-cutoff upload,9983184
missing percentages in the training summary sheet,9983184
screenshots for reference,9983236
issue with enrolment upload,9983236
staff member's enrolment individually or in bulk for a course,9983236
clearer grant allocation,9983262
"course title, start date, employee name, and amount",9983262
more detailed disbursement info from Workforce Singapore,9983262
specific course,9983278
claim submission process,9983278
funding eligibility for SkillsFuture Credit,9983278
Customer Paynow linked to NRIC,9983310
Overall in charge is informed,9983310
Training Allowance disbursement,9983310
"Institute of Banking and Finance's ""International Mergers & Acquisitions Expert"" course",9983313
outdated course materials,9983313
quality check process,9983313
Hong Kong,9983317
posting a job on MyCareersFuture platform,9983317
Singapore,9983317
other participants in the same course run,9983356
specific participant,9983356
resolve the issue,9983356
course starting today,9983370
claiming SkillsFuture Credit for course,9983370
employment assistance,9983384
previous appointment,9983384
new appointment with a Career Coach,9983384
paying Skills Development Levy via personal PayNow,9983433
levy obligations for EP holder directors,9983433
levy waiver for June to September 2023,9983433
payment rejection,9983438
Institute of Banking and Finance course,9983438
submitting course renewal request,9983438
Training Partners Gateway,9983438
specified dates,9983471
Great Numbers (SG) Investment Private Limited,9983471
total outstanding Skills Development Levy payable,9983471
payment methods for Skills Development Levy,9983536
Notice of Assessment,9983536
company ability to apply for Employment/SPass after 14 days,9983549
