subject,case_number
Inquiry,9982658
Student with double major,9982658
Customer,9982691
Customer,9982715
Customer,9982739
Appointment booking,9982739
Enrolment uploads,9982743
Customer,9982743
Ms <PERSON>,9982784
Reason,9982795
Customer,9982795
Attempts to resend the email,9982795
Customer,9982816
Disbursement,9982816
Customer,9982873
Customer,9982911
Inquiry,9982967
"""Perform Metal Scaffold Erection -1"" course",9982967
New hire,9982986
Customer,9983039
Course,9983058
Customer,9983058
Customer,9983116
Follow-up,9983144
EVERSAFE ACADEMY,9983184
Colleague,9983236
Disbursement info,9983262
ST Engineering Finance,9983262
SkillsFuture Credit,9983278
Customer,9983278
Overall in charge,9983310
Customer,9983310
Paynow,9983310
Course materials,9983313
Customer,9983313
Job,9983317
Customer,9983317
Specific participant,9983356
Grant disbursement,9983356
Assistance,9983356
Customer,9983370
Appointment purpose,9983384
Customer,9983384
Customer,9983433
Customer,9983438
Course renewal request,9983438
Payment rejection,9983438
Skills Development Levy,9983471
Customer,9983471
Customer,9983536
Customer inquiry,9983536
Customer,9983549
Job posting duration,9983549
Skills Development Levy,9983581
Chanrai Ventures Pte Ltd,9983581
British director,9983581
Employer,9983614
Transferring Credits,9983634
Additional SkillsFuture Credits,9983634
Customer,9983634
Customer,9983677
Employer,9983696
Employer,9986358
Customer,9983699
Error,9983765
Customer,9983765
Grant eligibility reinstatement,9983778
Request,9983778
Customer,9983808
Customer,9983838
Customer,9983876
Company,9983882
Customer,9983882
Customer,9983883
Customer,9983904
Course,9983904
Absentee Payroll funding,9983904
Auto-reply from National Council of Social Service,9983907
Straightforward issues,9983907
Response times,9983907
Customer,9983942
Absentee Payroll funding details,9983947
Customer,9983947
Occupational First Aid Course,9983947
Customer,9983950
Career switch options,9983950
Overpayment,9983968
Customer,9983968
Customer,9983971
Customer,9983983
Customer inquiry,9984021
Customer,9984021
Payment receipt,9984023
Customer,9984023
Ms <PERSON>,9984058
Errors,9984071
Customer,9984071
Foreign employees,9984091
Inquirer,9984091
Sponsorships or schemes,9984094
Customer,9984094
"Course run for ""Risk Management""",9984104
Successful enrollment,9984104
Customer,9984115
Customer,9984148
Customer,9984222
Customer,9984252
Customer,9984288
Customer,9984293
Customer,9984323
Employment assistance,9984323
