subject,predicate,object
Inquiry,concerns,post-degree completion
Student with double major,inquires_about_eligibility_for,Career Conversion Programme in Nursing
Customer,inquires_about,course fee subsidy for a Tourist guide course
Customer,inquires_about,SkillsFuture Credits balance
Customer,inquires_about,expiry date for a 62-year-old
Customer,encounters_error_message_when_using,Training Provider link
Customer,seeks_assistance_with,submitting a SkillsFuture Credit claim
Customer,requests_to_book,new face-to-face appointment
Appointment booking,through,CMS
Enrolment uploads,for,Track Access Management Level 2 course
Customer,reports,no updates after multiple enrolment uploads
Customer,requests,assistance
Ms <PERSON>,requests_assistance_from,SkillsFuture Singapore
Ms <PERSON>,requests_review_of,feedback on a Temasek Polytechnic Diploma course
Reason,is_due_to,computer issues
Customer,unable_to,email resume to employer for a job application on MyCareersFuture
Attempts to resend the email,were,unsuccessful
Customer,inquires_about,disbursement received in company's PayNow account
Disbursement,received_from,SkillsFuture Singapore
Customer,seeks_details_on,source and amount of disbursement
Customer,requests_breakdown_of,recent disbursement linked to SkillsFuture Singapore Agency
Customer,unable_to_find,disbursement details on Skillsfuture portal
Customer,completed,a course
Customer,inquired_about_timing_of,Training Commitment Award and Training Allowance payments
Customer,requests_expedited_payment_due_to,urgent cash needs
Inquiry,concerns,"""Perform Metal Scaffold Erection -1"" course qualification"
"""Perform Metal Scaffold Erection -1"" course",qualifies_under,13 skill sets for upgrading workers in the Process industry
New hire,reports_error_with,Singpass MobileApp Verification
New hire,unable_to_take_attendance_for,course due to site loading issues and lack of QR code
Customer,requested_to_speak_to,the overall in charge
Course,starts_on,"January 2, 2024"
Customer,unable_to_submit,early claim for SkillsFuture Credits
Customer,inquires_about,claiming a cash award for a company-sponsored Food Hygiene course
Customer,seeks_guidance_on,eligibility and submission process
Follow-up,is_requested_on,a previous case
EVERSAFE ACADEMY,reports,attendance data not processed despite pre-cutoff upload
EVERSAFE ACADEMY,requests_resolution_for,missing percentages in the training summary sheet
Colleague,provides,screenshots for reference
Colleague,requests_assistance_to_resolve,issue with enrolment upload
Colleague,unable_to_upload,staff member's enrolment individually or in bulk for a course
Disbursement info,for_purpose_of,clearer grant allocation
Disbursement info,includes,"course title, start date, employee name, and amount"
ST Engineering Finance,requests,more detailed disbursement info from Workforce Singapore
SkillsFuture Credit,applies_to,specific course
Customer,inquires_about,claim submission process
Customer,inquires_about,funding eligibility for SkillsFuture Credit
Overall in charge,informed_about,Customer Paynow linked to NRIC
Customer,seeks_confirmation,Overall in charge is informed
Paynow,used_for,Training Allowance disbursement
Course materials,for,"Institute of Banking and Finance's ""International Mergers & Acquisitions Expert"" course"
Customer,provided_feedback_on,outdated course materials
Customer,questioning,quality check process
Job,for_company_based_in,Hong Kong
Customer,inquires_about,posting a job on MyCareersFuture platform
Job,to_employ_staff_working_in,Singapore
Specific participant,compared_to,other participants in the same course run
Grant disbursement,not_approved_for,specific participant
Assistance,requested_to,resolve the issue
Customer,has_not_registered_for,course starting today
Customer,inquires_about,claiming SkillsFuture Credit for course
Appointment purpose,for,employment assistance
Customer,missed,previous appointment
Customer,requests_to_book,new appointment with a Career Coach
Customer,inquires_about,paying Skills Development Levy via personal PayNow
Customer,inquires_about,levy obligations for EP holder directors
Customer,inquires_about_appealing,levy waiver for June to September 2023
Customer,facing_issues_with,payment rejection
Course renewal request,for,Institute of Banking and Finance course
Payment rejection,occurs_during,submitting course renewal request
Course renewal request,submitted_via,Training Partners Gateway
Skills Development Levy,payable_as_of,specified dates
Skills Development Levy,related_to,Great Numbers (SG) Investment Private Limited
Customer,requests,total outstanding Skills Development Levy payable
Customer,inquires_about,payment methods for Skills Development Levy
Customer inquiry,references,Notice of Assessment
Customer,inquires_about,company ability to apply for Employment/SPass after 14 days
Job posting duration,is_for,30 days on MyCareersFuture without edits
Skills Development Levy,for,British director under Employment Pass
Chanrai Ventures Pte Ltd,seeks_guidance_on,paying Skills Development Levy
British director,without,other staff
Employer,inquires_about,discrepancy
Employer,makes,monthly contributions
Employer,received,letter about outstanding Skills Development Levy
Transferring Credits,adds_to,initial credits
Additional SkillsFuture Credits,for_usage_in,course
Customer,inquired_about,transferring additional SkillsFuture Credits
Customer,requests_removal_of,their email address from all Skills Future mailing lists
Customer,wants_to_stop,receiving emails
Employer,inquired_about,computation method for Skills Development Levy payment
Employer,received,letter about outstanding Skills Development Levy payment
Customer,inquires_about,posting a job on MyCareersFuture
Customer,mentions_inability_to_remember,company's CorpPass account
Error,occurs_on,TP portal
Customer,unable_to_submit,SkillsFuture Credit claim
Grant eligibility reinstatement,due_to,technical issue with auto-enrolment
Request,to_reinstate,grant eligibility for a course run
Customer,hopes_for,resolution before their lessons conclude
Customer,inquires_about,pending status of their Skillsfuture claim
Customer,followed_up_on,previous case regarding SkillsFuture Credits
Customer,noted,no updates received after responding to an email
Customer,questions,outstanding levy automatically calculated via Central Provident Fund
Customer,unaware_of,Skills Development Levy mandatory for foreign workers
Company,dismisses_employees_after,receiving government subsidies
Company,employs_candidates_without,training
Customer,inquires_about_actions_for,misuse of Career Conversion Programme
Customer,enquired_about,Career Conversion Programme
Customer,has_role,employer
Customer,inquires_about_eligibility_for,Absentee Payroll funding
Customer,is_not,Authorized Training Organization
Course,is_not_funded_by,SkillsFuture
Absentee Payroll funding,purpose_of,to train employees
Auto-reply from National Council of Social Service,acknowledges,feedback
Straightforward issues,replied_within,3 working days
Response times,varies_based_on,enquiry complexity
Customer,found,no providers offering Workplace Literacy and Numeracy (WPLN)
Customer,inquires_about,training providers for Workplace Literacy and Numeracy (WPLN)
Absentee Payroll funding details,for_employee_attending,Occupational First Aid Course
Customer,inquired_about,Absentee Payroll funding details
Occupational First Aid Course,offered_by,National Trades Union Congress
Customer,inquired_about,career switch options
Career switch options,through,Workforce Singapore's No Wrong Door program
Overpayment,due_to,incorrect outstanding amount reported in the Notice of Assessment
Overpayment,on,Skills Development Levy 2023
Customer,requests,refund or credit note for overpayment
Customer,asks_about,liability for employees stationed overseas
Customer,questions_receiving,Skills Development Levy Notice of Assessment despite monthly payments
Customer,inquiring_about,nature of Skills Development Levy
Customer,inquiring_about,calculation method of Skills Development Levy
Customer,inquiring_about,Skills Development Levy specifics for her 82 employees
Customer,received,letter about outstanding Skills Development Levy for 2022
Customer inquiry,excludes,Food Hygiene courses
Customer,inquires_about,available Workplace Skills Qualification Courses in the Service Industry
Payment receipt,for,company's Skills Development Levy payment
Customer,requested,payment receipt
Ms <PERSON>,attempting_action_for,submitting a SkillsFuture Credit claim
Ms <PERSON>,unable_to,upload invoice
Errors,persist_despite,updates
Customer,reports_errors_in,attendance uploads on the Training Provider Gateway
Customer,seeks_inquiry_on,the issue
Foreign employees,covered_by,Skills Development Levy
Inquirer,inquires_about,subsidy-eligible courses for foreign employees
Inquirer,requests,list of courses
Inquirer,requests,further information link
Sponsorships or schemes,available_for,company's internship program
Customer,inquired_about,potential sponsorships or schemes
"Course run for ""Risk Management""",is_missing_in,"""Course Run"" tab"
Successful enrollment,visible_in,"""Enrollment"" tab"
Customer,claims,correct Central Provident Fund calculations
Customer,inquired_about,future payment methods
Customer,received_notice_for,outstanding Skills Development Levy payment for 2022
Customer,inquired_about,booking facilities at the Lifelong Learning Institute
Customer,attends_courses_for,Workfare Skills Support scheme
Customer,inquires_about,receiving money under the Workfare Skills Support scheme
Customer,was_previously_informed_about,receiving money for attending courses
Customer,inquires_about,SkillsFuture Credit balance
Customer,inquires_about,expiry date of SkillsFuture Credit balance
Customer,inquired_about,details of the outstanding levy payable
Customer,received,Skills Development Levy Notice of Assessment
Customer,cannot_locate,payment details on the funding site
Customer,received,absentee payroll payment from Skillsfuture Singapore Agency
Customer,requests_assistance_to,allocate funds internally
Customer,requests,employment assistance
Employment assistance,through,CMP program
Attendance details for Food Safety Course Level 1,not_synced_with,enrollment details
Attendance details,require_update_to,reflect correctly on the enrollment page
Customer,claims,regular contributions made via giro
Contributions,made_through,CPFB
Customer,received,letter about outstanding Skills Development Levy payment
Reason for resubmission,due_to,incorrect amount entered
Incorrect amount,entered_for,SkillsFuture Singapore credit
Customer,needs_to_resubmit,a backdated claim
Customer,inquires_about,assessment updates
Customer,inquires_about,certificate uploads
Customer,inquires_about,survey QR codes for SkillsPassport
Customer,notes_issues_with,QR code scanning for attendance in two course runs
Learner,did_not_attend,specific course run
Learner,did_not_pass,specific course run
Request,to_void_assessment_for,learner
Course fee subsidy,for,Specialist Diploma in Esports Business and Production
Customer,inquired_about,eligibility for course fee subsidy
Customer enquiry,is_related_to,job with Workforce Singapore
Customer,requests,Mandarin-speaking agent
Customer,edited,job posting twice due to salary issues
Customer,requests_assistance_to,edit the dates
Customer,unaware_of,14-day period reset after edits
Masters program,completed,two years ago
Customer,unable_to_submit_claim,despite having funds available
Customer,was_unaware_of,using SkillsFuture Credit for Masters program
Customer,requested_to_speak_to,Customer Service Officer named Afiz
Error message,indicates,claim failed
User,aims_to_avoid,sharing Singpass credentials
Secondary account,purpose_of,assist with job posts
User,requests_advice_on,adding a secondary account
Participants,did_not_receive,QR code for assessment session attendance
Request,to_submit,manual attendance for affected candidates
Participants,were_unaware_of,separate submission requirements
